caseKey,caseName,caseDescription,scenarioKey,scenario,segmentType,segmentKey,metric,estimate,lower95,upper95,n,method
baseline,Baseline,Baseline assumptions for sensitivity comparison.,strict-recusal-court,Strict recusal with substitute justices,period,1,replacementPressure,0.000,0.000,0.044,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,strict-recusal-court,Strict recusal with substitute justices,period,1,estimatedReplacementEvents,0.000,0.000,0.789,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,strict-recusal-court,Strict recusal with substitute justices,period,2,courtSize,12.000,9.211,14.789,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,strict-recusal-court,Strict recusal with substitute justices,period,2,medianIdeology,0.008,-0.211,0.227,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,strict-recusal-court,Strict recusal with substitute justices,period,2,ideologicalSpread,0.827,0.612,1.043,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,strict-recusal-court,Strict recusal with substitute justices,period,2,meanPartisanAttachment,0.530,0.421,0.640,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,strict-recusal-court,Strict recusal with substitute justices,period,2,meanRightsSensitivity,0.734,0.637,0.831,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,strict-recusal-court,Strict recusal with substitute justices,period,2,meanInstitutionalism,0.770,0.678,0.862,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,strict-recusal-court,Strict recusal with substitute justices,period,2,replacementPressure,0.459,0.350,0.568,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,strict-recusal-court,Strict recusal with substitute justices,period,2,estimatedReplacementEvents,5.506,3.688,7.323,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,strict-recusal-court,Strict recusal with substitute justices,period,3,courtSize,12.000,9.211,14.789,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,strict-recusal-court,Strict recusal with substitute justices,period,3,medianIdeology,-0.013,-0.232,0.206,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,strict-recusal-court,Strict recusal with substitute justices,period,3,ideologicalSpread,0.860,0.643,1.077,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,strict-recusal-court,Strict recusal with substitute justices,period,3,meanPartisanAttachment,0.532,0.423,0.641,80,conservative-bounded-normal-95
