profile,context,contrast,claim,left,right,kind,metric,componentRole,difference,lower,upper,monteCarloSE,runs,bootstrapReplicates
frozen-generator,emergencyPressure-low,emergency-ablation,emergency,reasoned-with-fast-procedure,reasoned-emergency-review,ablation,shadowDocketAbuse,registered-component,0.0504239729602979,0.04650071678466948,0.05456388196431017,0.002125533234482428,120,2000
frozen-generator,emergencyPressure-low,emergency-ablation,emergency,reasoned-with-fast-procedure,reasoned-emergency-review,ablation,institutionalDelayCost,additional-diagnostic,-0.001381947058725358,-0.0014901822678729827,-0.0012783683827806498,5.633976027475143e-05,120,2000
frozen-generator,emergencyPressure-low,screening-ablation,screening,council-with-full-court-structure,constitutional-council,ablation,directCourtCost,registered-diagnostic,-0.09720000000000001,-0.09733210500000002,-0.09706767375,6.728283564170791e-05,120,2000
frozen-generator,emergencyPressure-low,screening-ablation,screening,council-with-full-court-structure,constitutional-council,ablation,upstreamScreeningCost,registered-component,9.834061293808224e-08,-2.087147094858854e-06,2.478051031287731e-06,1.1054045004414478e-06,120,2000
frozen-generator,emergencyPressure-low,screening-ablation,screening,council-with-full-court-structure,constitutional-council,ablation,capacityStrainCost,registered-diagnostic,-0.04319993443959143,-0.0432860168800314,-0.043114505321928044,4.3476647081256235e-05,120,2000
frozen-generator,emergencyPressure-low,screening-ablation,screening,council-with-full-court-structure,constitutional-council,ablation,totalInstitutionalCost,registered-diagnostic,-0.05026220069653505,-0.05032516480096418,-0.05019993450111271,3.167312793395862e-05,120,2000
frozen-generator,emergencyPressure-low,screening-ablation,screening,council-with-full-court-structure,constitutional-council,ablation,intakeAcceptanceRate,registered-diagnostic,-5.7400004005332224e-08,-9.410264967967333e-07,7.128614808755298e-07,4.06719185340816e-07,120,2000
frozen-generator,emergencyPressure-low,screening-ablation,screening,council-with-full-court-structure,constitutional-council,ablation,councilScreenRate,registered-component,-1.0,-1.0,-1.0,0.0,120,2000
frozen-generator,emergencyPressure-low,screening-ablation,screening,council-with-full-court-structure,constitutional-council,ablation,administrativeLoad,additional-diagnostic,-0.24000000000000013,-0.2404762968750001,-0.23952831250000012,0.0002395419371130114,120,2000
frozen-generator,emergencyPressure-low,weak-form-half,weak-form,weak-form-half-response,weak-form-review,ablation,legislativeResponseRate,registered-component,-0.17020833333333335,-0.17802083333333335,-0.16208333333333333,0.004221064720140561,120,2000
